start_id,end_id,type
1,2,包含
1,3,包含
1,4,包含
1,5,包含
1,6,包含
1,7,包含
1,8,包含
9,2,包含
9,3,包含
9,4,包含
9,5,包含
9,6,包含
9,7,包含
9,8,包含
10,11,需要
10,12,需要
10,13,需要
10,14,需要
1,15,包含
1,7,包含
16,15,包含
16,7,包含
15,17,来源
7,17,来源
10,18,需要
10,19,需要
10,20,需要
10,21,需要
1,22,包含
16,22,包含
22,23,包含
22,24,包含
22,25,包含
22,26,包含
10,27,需要
10,28,需要
10,29,需要
10,30,需要
31,32,来源
31,33,来源
9,34,包含
35,36,调查
35,23,调查
35,37,需要
35,38,需要
39,40,用于
41,42,适用
41,43,适用
41,44,适用
45,46,得到
47,46,得到
48,49,用于
50,51,需要
52,53,参考
54,55,用于
56,57,需要
58,57,需要
56,59,用于
58,59,用于
56,60,用于
58,60,用于
61,62,包含
63,64,影响
63,65,影响
66,63,用于
67,63,用于
68,69,包含
